EPOCH=001,Accuracy= 71.738%
EPOCH=002,Accuracy= 75.851%
EPOCH=003,Accuracy= 73.706%
EPOCH=004,Accuracy= 72.801%
EPOCH=005,Accuracy= 72.252%
EPOCH=006,Accuracy= 74.574%
EPOCH=007,Accuracy= 59.574%
EPOCH=008,Accuracy= 70.869%
EPOCH=009,Accuracy= 60.443%
EPOCH=010,Accuracy= 58.794%
EPOCH=011,Accuracy= 48.369%
EPOCH=012,Accuracy= 54.645%
EPOCH=013,Accuracy= 62.128%
EPOCH=014,Accuracy= 50.390%
EPOCH=015,Accuracy= 47.270%
EPOCH=016,Accuracy= 62.518%
EPOCH=017,Accuracy= 71.028%
EPOCH=018,Accuracy= 60.550%
EPOCH=019,Accuracy= 64.202%
EPOCH=020,Accuracy= 42.624%
EPOCH=021,Accuracy= 46.950%
