year,month,day,A,B,total,weeke,holiday
2018,1,1,200692,189490,390182,1,1
2018,1,2,218365,211147,429512,2,0
2018,1,3,224501,217767,442268,3,0
2018,1,4,216431,212636,429067,4,0
2018,1,5,200447,209427,409874,5,0
2018,1,6,197836,186227,384063,6,1
2018,1,7,198552,196925,395477,7,1
2018,1,8,197743,189568,387311,1,0
2018,1,9,191391,185183,376574,2,0
2018,1,10,197122,200296,397418,3,0
2018,1,11,216672,199925,416597,4,0
2018,1,12,203256,200445,403701,5,0
2018,1,13,217197,192363,409560,6,1
2018,1,14,216570,208338,424908,7,1
2018,1,15,207931,213297,421228,1,0
2018,1,16,234678,205303,439981,2,0
2018,1,17,226505,206283,432788,3,0
2018,1,18,211227,207229,418456,4,0
2018,1,19,208865,201366,410231,5,0
2018,1,20,216786,197881,414667,6,1
2018,1,21,211369,201530,412899,7,1
2018,1,22,214322,203548,417870,1,0
2018,1,23,206493,197768,404261,2,0
2018,1,24,211523,205212,416735,3,0
2018,1,25,201931,198018,399949,4,0
2018,1,26,181994,197085,379079,5,0
2018,1,27,197412,196739,394151,6,1
2018,1,28,182203,190658,372861,7,1
2018,1,29,172882,179159,352041,1,0
2018,1,30,171839,180975,352814,2,0
2018,1,31,166380,175275,341655,3,0
2018,2,1,175677,190046,365723,4,0
2018,2,2,171892,174049,345941,5,0
2018,2,3,161611,172182,333793,6,1
2018,2,4,176800,173364,350164,7,1
2018,2,5,171490,175899,347389,1,0
2018,2,6,165450,181139,346589,2,0
2018,2,7,155891,168957,324848,3,0
2018,2,8,163069,166857,329926,4,0
2018,2,9,147908,149671,297579,5,0
2018,2,10,134836,138836,273672,6,1
2018,2,11,112335,126067,238402,7,0
2018,2,12,96845,120781,217626,1,0
2018,2,13,134252,103055,237307,2,0
2018,2,14,148848,95578,244426,3,0
2018,2,15,139806,97482,237288,4,1
2018,2,16,121030,81818,202848,5,1
2018,2,17,120634,83329,203963,6,1
2018,2,18,124346,86057,210403,7,1
2018,2,19,132538,89730,222268,1,1
2018,2,20,142970,95284,238254,2,1
2018,2,21,155954,102919,258873,3,1
2018,2,22,172507,108537,281044,4,0
2018,2,23,194389,128034,322423,5,0
2018,2,24,206794,133179,339973,6,0
2018,2,25,226482,147710,374192,7,1
2018,2,26,235394,158383,393777,1,0
2018,2,27,241980,158413,400393,2,0
2018,2,28,250602,166308,416910,3,0
2018,3,1,261774,170084,431858,4,0
2018,3,2,248291,171298,419589,5,0
2018,3,3,255822,166507,422329,6,1
2018,3,4,259524,168043,427567,7,1
2018,3,5,275738,183625,459363,1,0
2018,3,6,264037,177047,441084,2,0
2018,3,7,260783,175578,436361,3,0
2018,3,8,241719,163604,405323,4,0
2018,3,9,261092,172739,433831,5,0
2018,3,10,264185,173398,437583,6,1
2018,3,11,268592,179496,448088,7,1
2018,3,12,272312,182226,454538,1,0
2018,3,13,276584,184356,460940,2,0
2018,3,14,265517,175321,440838,3,0
2018,3,15,262525,184864,447389,4,0
2018,3,16,273040,179317,452357,5,0
2018,3,17,264503,174302,438805,6,1
2018,3,18,277232,181118,458350,7,1
2018,3,19,271441,178038,449479,1,0
2018,3,20,266702,174030,440732,2,0
2018,3,21,275413,180719,456132,3,0
2018,3,22,279361,181401,460762,4,0
2018,3,23,273488,182427,455915,5,0
2018,3,24,277822,173911,451733,6,1
2018,3,25,285159,178820,463979,7,1
2018,3,26,283489,178919,462408,1,0
2018,3,27,274005,193738,467743,2,0
2018,3,28,269927,201653,471580,3,0
2018,3,29,269758,197246,467004,4,0
2018,3,30,269459,198072,467531,5,0
2018,3,31,263855,196384,460239,6,1
2018,4,1,272845,203315,476160,7,1
2018,4,2,276202,200739,476941,1,0
2018,4,3,272489,206517,479006,2,0
2018,4,4,258847,195583,454430,3,0
2018,4,5,240529,180670,421199,4,1
2018,4,6,237084,174156,411240,5,1
2018,4,7,246111,182742,428853,6,1
2018,4,8,229977,201778,431755,7,0
2018,4,9,243209,196839,440048,1,0
2018,4,10,244738,199316,444054,2,0
2018,4,11,245213,202381,447594,3,0
2018,4,12,240786,201712,442498,4,0
2018,4,13,238099,204129,442228,5,0
2018,4,14,254491,186061,440552,6,1
2018,4,15,220682,171292,391974,7,1
2018,4,16,209871,175144,385015,1,0
2018,4,17,250291,196017,446308,2,0
